t,w,d,c,policy,schedule,evictions,trials,failures,failure_rate,failure_log2,failure_ci95_low,failure_ci95_high,exact_waterfall_failure,exact_waterfall_failure_log2,batch_failure_log2,batch_ci95_high_log2,mean_unplaced,p95_unplaced,output_columns,local_expansion_N,bin_solver_calls,index_bits,waterfall_pair_tests,main_one_hot_bits,repair_steps,repair_scan_units,rough_repair_index_bit_ops,optimized_repair_scan_units,rough_optimized_repair_index_bit_ops
16,3,6,2,biased,global,32,50000,123,0.00246,-8.667125969097572,0.0020623541833750597,0.002934091120261143,0.1419256167021533,-2.8167930843916746,-0.6671259690975719,-0.4128706090469729,1.42126,2,20,5,3,3,360,288,32,1536,9216,1536,9216
16,3,6,2,uniform,global,32,50000,143,0.00286,-8.449769137658421,0.0024285699433098714,0.0033678139017070154,0.1419256167021533,-2.8167930843916746,-0.44976913765842225,-0.21397186434037144,1.42166,2,20,5,3,3,360,288,32,1536,9216,1536,9216
16,3,6,2,oracle,none,0,50000,46,0.00092,-10.086078518379798,0.000689859269070718,0.0012268226502498516,0.1419256167021533,-2.8167930843916746,-2.0860785183797987,-1.6708575768983152,0.11828,1,20,5,3,3,360,288,0,0,0,0,0
16,3,8,0,waterfall,none,0,50000,21855,0.4371,-1.1939647167637806,0.4327572009304689,0.4414524634374184,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.52328,2,24,3,3,3,360,384,0,0,0,0,0
16,3,8,0,biased,global,2,50000,9059,0.18118,-2.4645043861550553,0.17782845589942994,0.18458052969309588,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.2077,1,24,3,3,3,360,384,2,96,576,48,288
16,3,8,0,uniform,global,2,50000,13380,0.2676,-1.9018499789079883,0.26373752762239655,0.271498179835426,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.31406,1,24,3,3,3,360,384,2,96,576,48,288
16,3,8,0,biased,global,4,50000,3838,0.07676,-3.7035014782414315,0.07445898484585593,0.07912604451924231,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.0862,1,24,3,3,3,360,384,4,192,1152,192,1152
16,3,8,0,uniform,global,4,50000,5400,0.108,-3.2108967824986183,0.10530949827960479,0.1107507311673249,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.1213,1,24,3,3,3,360,384,4,192,1152,192,1152
16,3,8,0,biased,global,8,50000,950,0.019,-5.717856771218502,0.017839757584288334,0.020234146405439146,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.02072,0,24,3,3,3,360,384,8,384,2304,384,2304
16,3,8,0,uniform,global,8,50000,1242,0.02484,-5.33119101621633,0.023511871272984174,0.0262411354209013,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.02704,0,24,3,3,3,360,384,8,384,2304,384,2304
16,3,8,0,biased,global,16,50000,211,0.00422,-7.888541285729627,0.0036886343977325865,0.004827540487978625,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.00466,0,24,3,3,3,360,384,16,768,4608,768,4608
