name,selector_k,selector,field_modulus,rank_modulus,weight,block_length,partition_size,trials,pair_slope,pair_r_squared,base_support,base_rank,support,support_se,support_gain_bits,rank,success,success_se,gain_bits,mixed_expected_work_gain_bits,mixed_alpha,weighted_expected_work_gain_bits,weighted_beta,weighted_half_success_gain_bits,weighted_half_beta,seconds,seed
t3-L8,4,marginal,3,65537,3,8,3,64,-0.150280042,0.921908197,0.015625000,1.000000000,0.021405416,0.000210408,0.454119687,1.000000000,0.021405416,0.000210408,0.454119687,0.046035078,0.10,0.021980321,1.00,0.053507939,2.00,16.998163,20260810
t3-L8,4,pair,3,65537,3,8,3,64,-0.150280042,0.921908197,0.015625000,1.000000000,0.021539992,0.000206233,0.463161496,1.000000000,0.021539992,0.000206233,0.463161496,0.017059970,0.05,0.020247393,1.00,0.044505334,2.00,16.998163,20260810
t3-L8,4,joint,3,65537,3,8,3,64,-0.150280042,0.921908197,0.015625000,1.000000000,0.023942155,0.000176740,0.615696800,1.000000000,0.023942155,0.000176740,0.615696800,0.016182531,0.05,nan,nan,nan,nan,16.998163,20260810
t3-L8,8,marginal,3,65537,3,8,3,64,-0.077448274,0.919640459,0.015625000,1.000000000,0.018851627,0.000116426,0.270832878,1.000000000,0.018851627,0.000116426,0.270832878,0.021962810,0.05,0.034007404,2.00,0.092701350,4.00,16.777572,20260810
t3-L8,8,pair,3,65537,3,8,3,64,-0.077448274,0.919640459,0.015625000,1.000000000,0.018938184,0.000126874,0.277441773,1.000000000,0.018938184,0.000126874,0.277441773,0.000000000,0.00,0.018131023,2.00,0.039697998,4.00,16.777572,20260810
t3-L8,8,joint,3,65537,3,8,3,64,-0.077448274,0.919640459,0.015625000,1.000000000,0.020443605,0.000099112,0.387793404,1.000000000,0.020443605,0.000099112,0.387793404,0.012461521,0.05,nan,nan,nan,nan,16.777572,20260810
t4-L4,1,marginal,3,65537,4,4,4,64,-0.510872162,0.886876603,0.003906250,1.000000000,0.013558472,0.000541525,1.795338375,1.000000000,0.013558472,0.000541525,1.795338375,0.054464151,0.05,0.120671452,0.50,0.377132834,2.00,23.157500,20260810
t4-L4,1,pair,3,65537,4,4,4,64,-0.510872162,0.886876603,0.003906250,1.000000000,0.009782188,0.000578734,1.324372833,1.000000000,0.009782188,0.000578734,1.324372833,0.000000000,0.00,0.000000000,0.00,0.079532906,0.25,23.157500,20260810
t4-L4,1,joint,3,65537,4,4,4,64,-0.510872162,0.886876603,0.003906250,1.000000000,0.018355583,0.000580688,2.232362750,1.000000000,0.018355583,0.000580688,2.232362750,0.112016833,0.10,nan,nan,nan,nan,23.157500,20260810
t4-L4,2,marginal,3,65537,4,4,4,64,-0.307334192,0.835502015,0.003906250,1.000000000,0.008779863,0.000237721,1.168414150,1.000000000,0.008779863,0.000237721,1.168414150,0.049729757,0.05,0.075012606,1.00,0.228926000,2.00,23.158094,20260810
t4-L4,2,pair,3,65537,4,4,4,64,-0.307334192,0.835502015,0.003906250,1.000000000,0.007484086,0.000248438,0.938041817,1.000000000,0.007484086,0.000248438,0.938041817,0.002417377,0.05,0.000000000,0.00,0.034101345,0.25,23.158094,20260810
t4-L4,2,joint,3,65537,4,4,4,64,-0.307334192,0.835502015,0.003906250,1.000000000,0.010578910,0.000218324,1.437334786,1.000000000,0.010578910,0.000218324,1.437334786,0.036417370,0.05,nan,nan,nan,nan,23.158094,20260810
t4-L4,4,marginal,3,65537,4,4,4,64,-0.175062165,0.716262495,0.003906250,1.000000000,0.006165131,0.000135288,0.658347328,1.000000000,0.006165131,0.000135288,0.658347328,0.038533194,0.05,0.047054540,1.00,0.164566596,4.00,23.247759,20260810
t4-L4,4,pair,3,65537,4,4,4,64,-0.175062165,0.716262495,0.003906250,1.000000000,0.005853972,0.000122218,0.583631471,1.000000000,0.005853972,0.000122218,0.583631471,0.003224838,0.05,0.012532226,0.25,0.059998226,1.00,23.247759,20260810
t4-L4,4,joint,3,65537,4,4,4,64,-0.175062165,0.716262495,0.003906250,1.000000000,0.007429354,0.000123659,0.927452548,1.000000000,0.007429354,0.000123659,0.927452548,0.045765251,0.05,nan,nan,nan,nan,23.247759,20260810
t4-L4,8,marginal,3,65537,4,4,4,64,-0.094593240,0.474685291,0.003906250,1.000000000,0.005347956,0.000090233,0.453203302,1.000000000,0.005347956,0.000090233,0.453203302,0.000000000,0.00,0.006089710,0.50,0.011775737,1.00,22.107186,20260810
t4-L4,8,pair,3,65537,4,4,4,64,-0.094593240,0.474685291,0.003906250,1.000000000,0.005048095,0.000080337,0.369954649,1.000000000,0.005048095,0.000080337,0.369954649,0.000000000,0.00,0.004123936,0.25,0.009677614,0.50,22.107186,20260810
t4-L4,8,joint,3,65537,4,4,4,64,-0.094593240,0.474685291,0.003906250,1.000000000,0.006176904,0.000104891,0.661099708,1.000000000,0.006176904,0.000104891,0.661099708,0.000000000,0.00,nan,nan,nan,nan,22.107186,20260810
