"t","w","d","c","policy","evictions","conditioned_samples","exact_initial_overflow","exact_initial_overflow_log2","conditional_failure","conditional_failure_log2","failure_estimate","failure_estimate_log2","standard_error","relative_standard_error","log2_standard_error","failure_effective_sample_size","nonzero_failure_matrices","structural_failure_matrices"
"16","3","64","2","biased","4","150000","2.1125627088552715e-14","-45.42799916174457","0.0012033333333333334","-9.698747948270796","2.5421171263225103e-17","-55.12674711001537","6.731598652527546e-19","0.026480285203324377","0.038202976144161474","1412.6937669376694","1431","0"
"16","4","16","0","biased","4","20000","1.1579794776080186e-05","-16.398030789171404","0.0021981481481481778","-8.829495662070991","2.5454104442976603e-08","-25.227526451242397","9.672802257811532e-10","0.03800095296804084","0.05482378639604726","669.3439429929024","1082","0"
"16","4","16","0","biased","6","20000","1.1579794776080186e-05","-16.398030789171404","0.0002629629629629648","-11.892852762208227","3.045057144821107e-09","-28.290883551379633","1.797082703064042e-10","0.05901638680641634","0.0851426485768017","283.06481802425157","1074","0"
"16","4","16","0","biased","8","20000","1.1579794776080186e-05","-16.398030789171404","3.459076360311e-05","-14.819253612380775","4.0055394367191787e-10","-31.21728440155218","4.100652497917122e-11","0.10237453812902282","0.14769523847203933","94.96656295374763","1074","0"
"16","4","16","0","biased","10","50000","1.1579794776080186e-05","-16.398030789171404","6.008230452674743e-06","-17.344628419162614","6.957407560936888e-11","-33.74265920833402","1.117006963805998e-11","0.16054930719849642","0.23162368931342955","38.76635454953543","2735","0"
"16","4","16","0","biased","12","50000","1.1579794776080186e-05","-16.398030789171404","1.4165636448824056e-06","-19.429173147210353","1.6403516294994388e-11","-35.82720393638176","4.4974811876943505e-12","0.27417787179367015","0.39555505595821794","13.29928682017265","2735","0"
"16","4","16","0","biased","14","50000","1.1579794776080186e-05","-16.398030789171404","4.4471540584934194e-07","-21.100614280755607","5.14971313349659e-12","-37.498645069927015","1.883848284269061e-12","0.36581616013044826","0.5277611600972406","7.4716756295262625","2735","0"
"16","4","16","0","biased","16","100000","1.1579794776080186e-05","-16.398030789171404","1.0050800385005228e-07","-23.24618627071783","1.1638620579370825e-12","-39.644217059889236","4.645046506304632e-13","0.39910627506303153","0.5757886438211022","6.277691448769974","5408","0"
"16","4","16","0","biased","18","100000","1.1579794776080186e-05","-16.398030789171404","3.930682664540357e-08","-24.600644863608053","4.551649858527337e-13","-40.998675652779454","2.0508537607354654e-13","0.4505737094195133","0.6500404561344767","4.925510581096881","5408","0"
"16","4","16","0","biased","20","100000","1.1579794776080186e-05","-16.398030789171404","1.6155882762305616e-08","-25.883365177049864","1.870818068139105e-13","-42.28139596622127","9.083161197902797e-14","0.48551814591665665","0.7004546213755647","4.242042229425965","5408","0"
