selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
leakage,0.25,0,3,0.0,-48.000066040834085,0.0,127.75255661704169,127.75255661704169,0.24744338295830914
leakage,0.5,0,3,0.0,-48.000066040834085,0.0,127.5625500652458,127.5625500652458,0.43744993475419847
leakage,1.0,0,3,0.0,-48.000066040834085,0.0,127.36417796076441,127.36417796076441,0.6358220392355918
leakage,2.0,0,3,0.0,-48.000066040834085,0.0,127.66797942655901,127.66797942655901,0.33202057344098534
leakage,4.0,0,3,0.0,-48.000066040834085,0.0,130.87432719616857,130.87432719616857,-2.874327196168565
leakage,8.0,0,3,0.0,-48.000066040834085,0.0,146.2590204033019,146.2590204033019,-18.25902040330189
uniform,0.0,0,3,0.0,-48.000066040834085,0.0,128.004228710764,128.004228710764,-0.004228710764010657
leakage,0.0,0,4,0.0,-64.00008805444544,0.0,128.0056382810187,128.0056382810187,-0.00563828101869035
leakage,0.25,0,4,0.0,-64.00008805444544,0.0,127.75396618729637,127.75396618729637,0.24603381270362945
leakage,0.5,0,4,0.0,-64.00008805444544,0.0,127.56395963550047,127.56395963550047,0.436040364499533
leakage,1.0,0,4,0.0,-64.00008805444544,0.0,127.36558753101909,127.36558753101909,0.6344124689809121
leakage,2.0,0,4,0.0,-64.00008805444544,0.0,127.66938899681368,127.66938899681368,0.33061100318631986
leakage,4.0,0,4,0.0,-64.00008805444544,0.0,130.87573676642324,130.87573676642324,-2.8757367664232447
leakage,8.0,0,4,0.0,-64.00008805444544,0.0,146.26042997355657,146.26042997355657,-18.26042997355657
uniform,0.0,0,4,0.0,-64.00008805444544,0.0,128.0056382810187,128.0056382810187,-0.00563828101869035
leakage,0.0,0,5,0.0,-80.0001100680568,0.0,128.00704785127337,128.00704785127337,-0.007047851273370043
leakage,0.25,0,5,0.0,-80.0001100680568,0.0,127.75537575755104,127.75537575755104,0.24462424244896397
leakage,0.5,0,5,0.0,-80.0001100680568,0.0,127.56536920575513,127.56536920575513,0.4346307942448675
leakage,1.0,0,5,0.0,-80.0001100680568,0.0,127.36699710127375,127.36699710127375,0.6330028987262466
leakage,2.0,0,5,0.0,-80.0001100680568,0.0,127.67079856706836,127.67079856706836,0.32920143293164017
leakage,4.0,0,5,0.0,-80.0001100680568,0.0,130.87714633667792,130.87714633667792,-2.8771463366779244
leakage,8.0,0,5,0.0,-80.0001100680568,0.0,146.26183954381122,146.26183954381122,-18.26183954381122
uniform,0.0,0,5,0.0,-80.0001100680568,0.0,128.00704785127337,128.00704785127337,-0.007047851273370043
leakage,0.0,0,6,0.0,-96.00013208166817,0.0,128.00845742152802,128.00845742152802,-0.008457421528021314
leakage,0.25,0,6,0.0,-96.00013208166817,0.0,127.75678532780572,127.75678532780572,0.24321467219428428
leakage,0.5,0,6,0.0,-96.00013208166817,0.0,127.56677877600981,127.56677877600981,0.4332212239901878
leakage,1.0,0,6,0.0,-96.00013208166817,0.0,127.36840667152843,127.36840667152843,0.6315933284715669
leakage,2.0,0,6,0.0,-96.00013208166817,0.0,127.67220813732303,127.67220813732303,0.3277918626769747
leakage,4.0,0,6,0.0,-96.00013208166817,0.0,130.8785559069326,130.8785559069326,-2.878555906932604
leakage,8.0,0,6,0.0,-96.00013208166817,0.0,146.2632491140659,146.2632491140659,-18.2632491140659
