trial,hidden,selector,retained,list_size,candidate_space,generated_children,exact_factor_evaluations
14,3,exact_rerank,1.0,64,256,340,2048
14,3,oracle_exact,0.0,64,256,256,4096
15,0,pair_beam,0.3333333333333333,64,256,340,0
15,0,exact_rerank,1.0,64,256,340,2048
15,0,oracle_exact,0.0,64,256,256,4096
15,1,pair_beam,0.0,64,256,340,0
15,1,exact_rerank,1.0,64,256,340,2048
15,1,oracle_exact,1.0,64,256,256,4096
15,2,pair_beam,0.0,64,256,340,0
15,2,exact_rerank,1.0,64,256,340,2048
15,2,oracle_exact,1.0,64,256,256,4096
15,3,pair_beam,0.0,64,256,340,0
15,3,exact_rerank,0.0,64,256,340,2048
15,3,oracle_exact,0.0,64,256,256,4096
16,0,pair_beam,0.0,64,256,340,0
16,0,exact_rerank,0.0,64,256,340,2048
16,0,oracle_exact,1.0,64,256,256,4096
16,1,pair_beam,0.0,64,256,340,0
16,1,exact_rerank,0.0,64,256,340,2048
16,1,oracle_exact,0.0,64,256,256,4096
16,2,pair_beam,0.0,64,256,340,0
16,2,exact_rerank,1.0,64,256,340,2048
16,2,oracle_exact,1.0,64,256,256,4096
16,3,pair_beam,0.0,64,256,340,0
16,3,exact_rerank,1.0,64,256,340,2048
16,3,oracle_exact,1.0,64,256,256,4096
17,0,pair_beam,0.0,64,256,340,0
17,0,exact_rerank,0.0,64,256,340,2048
17,0,oracle_exact,1.0,64,256,256,4096
17,1,pair_beam,0.0,64,256,340,0
17,1,exact_rerank,0.0,64,256,340,2048
17,1,oracle_exact,0.0,64,256,256,4096
17,2,pair_beam,0.0,64,256,340,0
17,2,exact_rerank,0.0,64,256,340,2048
17,2,oracle_exact,0.0,64,256,256,4096
17,3,pair_beam,1.0,64,256,340,0
17,3,exact_rerank,1.0,64,256,340,2048
17,3,oracle_exact,1.0,64,256,256,4096
18,0,pair_beam,1.0,64,256,340,0
18,0,exact_rerank,1.0,64,256,340,2048
18,0,oracle_exact,1.0,64,256,256,4096
18,1,pair_beam,0.0,64,256,340,0
18,1,exact_rerank,0.0,64,256,340,2048
18,1,oracle_exact,0.0,64,256,256,4096
18,2,pair_beam,0.0,64,256,340,0
18,2,exact_rerank,1.0,64,256,340,2048
18,2,oracle_exact,1.0,64,256,256,4096
18,3,pair_beam,1.0,64,256,340,0
18,3,exact_rerank,1.0,64,256,340,2048
18,3,oracle_exact,1.0,64,256,256,4096
19,0,pair_beam,1.0,64,256,340,0
19,0,exact_rerank,0.0,64,256,340,2048
19,0,oracle_exact,0.0,64,256,256,4096
19,1,pair_beam,0.0,64,256,340,0
19,1,exact_rerank,0.0,64,256,340,2048
19,1,oracle_exact,0.0,64,256,256,4096
19,2,pair_beam,0.0,64,256,340,0
19,2,exact_rerank,1.0,64,256,340,2048
19,2,oracle_exact,0.0,64,256,256,4096
19,3,pair_beam,0.0,64,256,340,0
19,3,exact_rerank,0.0,64,256,340,2048
19,3,oracle_exact,0.0,64,256,256,4096
20,0,pair_beam,0.0,64,256,340,0
20,0,exact_rerank,1.0,64,256,340,2048
20,0,oracle_exact,1.0,64,256,256,4096
20,1,pair_beam,1.0,64,256,340,0
20,1,exact_rerank,1.0,64,256,340,2048
20,1,oracle_exact,1.0,64,256,256,4096
20,2,pair_beam,0.0,64,256,340,0
20,2,exact_rerank,0.0,64,256,340,2048
20,2,oracle_exact,0.0,64,256,256,4096
20,3,pair_beam,0.0,64,256,340,0
20,3,exact_rerank,0.0,64,256,340,2048
20,3,oracle_exact,0.0,64,256,256,4096
21,0,pair_beam,1.0,64,256,340,0
21,0,exact_rerank,1.0,64,256,340,2048
21,0,oracle_exact,1.0,64,256,256,4096
21,1,pair_beam,0.0,64,256,340,0
21,1,exact_rerank,0.0,64,256,340,2048
21,1,oracle_exact,0.0,64,256,256,4096
21,2,pair_beam,0.0,64,256,340,0
21,2,exact_rerank,1.0,64,256,340,2048
21,2,oracle_exact,1.0,64,256,256,4096
21,3,pair_beam,0.0,64,256,340,0
21,3,exact_rerank,1.0,64,256,340,2048
21,3,oracle_exact,1.0,64,256,256,4096
22,0,pair_beam,0.11764705882352941,64,256,340,0
22,0,exact_rerank,0.0,64,256,340,2048
22,0,oracle_exact,0.0,64,256,256,4096
22,1,pair_beam,0.0,64,256,340,0
22,1,exact_rerank,1.0,64,256,340,2048
22,1,oracle_exact,1.0,64,256,256,4096
22,2,pair_beam,0.0,64,256,340,0
22,2,exact_rerank,0.0,64,256,340,2048
22,2,oracle_exact,0.0,64,256,256,4096
22,3,pair_beam,1.0,64,256,340,0
22,3,exact_rerank,1.0,64,256,340,2048
22,3,oracle_exact,1.0,64,256,256,4096
23,0,pair_beam,0.0,64,256,340,0
23,0,exact_rerank,0.0,64,256,340,2048
23,0,oracle_exact,0.0,64,256,256,4096
23,1,pair_beam,0.0,64,256,340,0
23,1,exact_rerank,0.0,64,256,340,2048
23,1,oracle_exact,0.0,64,256,256,4096
23,2,pair_beam,0.0,64,256,340,0
23,2,exact_rerank,1.0,64,256,340,2048
23,2,oracle_exact,0.0,64,256,256,4096
23,3,pair_beam,0.0,64,256,340,0
23,3,exact_rerank,0.0,64,256,340,2048
23,3,oracle_exact,1.0,64,256,256,4096
24,0,pair_beam,0.0,64,256,340,0
24,0,exact_rerank,0.0,64,256,340,2048
24,0,oracle_exact,0.0,64,256,256,4096
24,1,pair_beam,1.0,64,256,340,0
24,1,exact_rerank,0.0,64,256,340,2048
24,1,oracle_exact,0.0,64,256,256,4096
24,2,pair_beam,0.0,64,256,340,0
24,2,exact_rerank,0.0,64,256,340,2048
24,2,oracle_exact,0.0,64,256,256,4096
24,3,pair_beam,0.0,64,256,340,0
24,3,exact_rerank,0.0,64,256,340,2048
24,3,oracle_exact,0.0,64,256,256,4096
25,0,pair_beam,0.0,64,256,340,0
25,0,exact_rerank,0.0,64,256,340,2048
25,0,oracle_exact,1.0,64,256,256,4096
25,1,pair_beam,0.0,64,256,340,0
25,1,exact_rerank,1.0,64,256,340,2048
25,1,oracle_exact,1.0,64,256,256,4096
25,2,pair_beam,1.0,64,256,340,0
25,2,exact_rerank,0.0,64,256,340,2048
25,2,oracle_exact,0.0,64,256,256,4096
25,3,pair_beam,0.5714285714285714,64,256,340,0
25,3,exact_rerank,1.0,64,256,340,2048
25,3,oracle_exact,1.0,64,256,256,4096
26,0,pair_beam,1.0,64,256,340,0
26,0,exact_rerank,1.0,64,256,340,2048
26,0,oracle_exact,1.0,64,256,256,4096
26,1,pair_beam,1.0,64,256,340,0
26,1,exact_rerank,1.0,64,256,340,2048
26,1,oracle_exact,1.0,64,256,256,4096
26,2,pair_beam,1.0,64,256,340,0
26,2,exact_rerank,1.0,64,256,340,2048
26,2,oracle_exact,1.0,64,256,256,4096
26,3,pair_beam,1.0,64,256,340,0
26,3,exact_rerank,1.0,64,256,340,2048
26,3,oracle_exact,1.0,64,256,256,4096
27,0,pair_beam,1.0,64,256,340,0
27,0,exact_rerank,1.0,64,256,340,2048
27,0,oracle_exact,1.0,64,256,256,4096
27,1,pair_beam,0.0,64,256,340,0
27,1,exact_rerank,0.0,64,256,340,2048
27,1,oracle_exact,1.0,64,256,256,4096
27,2,pair_beam,0.0,64,256,340,0
27,2,exact_rerank,0.0,64,256,340,2048
27,2,oracle_exact,0.0,64,256,256,4096
27,3,pair_beam,0.0,64,256,340,0
27,3,exact_rerank,0.0,64,256,340,2048
27,3,oracle_exact,0.0,64,256,256,4096
28,0,pair_beam,1.0,64,256,340,0
28,0,exact_rerank,1.0,64,256,340,2048
28,0,oracle_exact,1.0,64,256,256,4096
28,1,pair_beam,0.5882352941176471,64,256,340,0
28,1,exact_rerank,1.0,64,256,340,2048
28,1,oracle_exact,1.0,64,256,256,4096
28,2,pair_beam,1.0,64,256,340,0
28,2,exact_rerank,1.0,64,256,340,2048
28,2,oracle_exact,1.0,64,256,256,4096
28,3,pair_beam,1.0,64,256,340,0
28,3,exact_rerank,1.0,64,256,340,2048
28,3,oracle_exact,1.0,64,256,256,4096
29,0,pair_beam,0.0,64,256,340,0
29,0,exact_rerank,0.0,64,256,340,2048
29,0,oracle_exact,0.0,64,256,256,4096
29,1,pair_beam,1.0,64,256,340,0
29,1,exact_rerank,0.0,64,256,340,2048
29,1,oracle_exact,0.0,64,256,256,4096
29,2,pair_beam,0.0,64,256,340,0
29,2,exact_rerank,0.0,64,256,340,2048
29,2,oracle_exact,0.0,64,256,256,4096
29,3,pair_beam,0.0,64,256,340,0
29,3,exact_rerank,0.0,64,256,340,2048
29,3,oracle_exact,1.0,64,256,256,4096
30,0,pair_beam,0.0,64,256,340,0
30,0,exact_rerank,1.0,64,256,340,2048
30,0,oracle_exact,0.0,64,256,256,4096
30,1,pair_beam,0.0,64,256,340,0
30,1,exact_rerank,0.0,64,256,340,2048
30,1,oracle_exact,0.0,64,256,256,4096
30,2,pair_beam,0.0,64,256,340,0
30,2,exact_rerank,0.0,64,256,340,2048
30,2,oracle_exact,1.0,64,256,256,4096
30,3,pair_beam,1.0,64,256,340,0
30,3,exact_rerank,1.0,64,256,340,2048
30,3,oracle_exact,1.0,64,256,256,4096
31,0,pair_beam,0.0,64,256,340,0
31,0,exact_rerank,1.0,64,256,340,2048
31,0,oracle_exact,1.0,64,256,256,4096
31,1,pair_beam,0.0,64,256,340,0
31,1,exact_rerank,0.0,64,256,340,2048
31,1,oracle_exact,0.0,64,256,256,4096
31,2,pair_beam,0.0,64,256,340,0
31,2,exact_rerank,1.0,64,256,340,2048
31,2,oracle_exact,1.0,64,256,256,4096
31,3,pair_beam,0.0,64,256,340,0
31,3,exact_rerank,1.0,64,256,340,2048
31,3,oracle_exact,1.0,64,256,256,4096
32,0,pair_beam,0.0,64,256,340,0
32,0,exact_rerank,1.0,64,256,340,2048
32,0,oracle_exact,1.0,64,256,256,4096
32,1,pair_beam,1.0,64,256,340,0
32,1,exact_rerank,1.0,64,256,340,2048
32,1,oracle_exact,1.0,64,256,256,4096
32,2,pair_beam,0.0,64,256,340,0
32,2,exact_rerank,0.0,64,256,340,2048
32,2,oracle_exact,0.0,64,256,256,4096
32,3,pair_beam,0.0,64,256,340,0
32,3,exact_rerank,0.0,64,256,340,2048
32,3,oracle_exact,0.0,64,256,256,4096
